station_name,street_address,city,state,zip,ev_connector_types,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,access_days_time,status_code,station_phone,ev_network,latitude,longitude
Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,J1772,0,68,0,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,E,206-787-5388,Non-Networked,47.443377,-122.296229
Caplan's Rainbow Parking,214 Columbia St,Seattle,WA,98104,J1772,0,2,0,Garage business hours; see the valet for access,E,206-682-2991,Non-Networked,47.604115,-122.332907
City of Seattle - Central Library,1000 4th Ave,Seattle,WA,98104,J1772,0,3,0,24 hours daily,E,206-386-4636,Non-Networked,47.606684,-122.332664
City of Seattle - Seattle Center,516 Harrison St,Seattle,WA,98109,J1772,0,6,0,24 hours daily; parking fee,E,206-684-7340,Non-Networked,47.622085,-122.347124
KING COUNTY DES KSC STATION #1,201 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.598663,-122.331009
VIA6 VIA6-SOUTH,2121 6th Ave,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.613883,-122.339405
800 FIFTH AVE STATION 2,800  5th Ave,Seattle,WA,98104,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.605599,-122.330626
UWMC 4245 UWMC 4245 #1,4245 Roosevelt Ave NE,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.658961,-122.3185
UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.658409,-122.318392
525 NORTHGATE RETAIL #1,525 NE Northgate Way,Seattle,WA,98125,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.707951,-122.321496
VM CHARGERS VIRGINIA MASON2,1012 Terry Ave,Seattle,WA,98101,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.609528,-122.326393
INSIGNIA 953 EV216,588 Bell St,Seattle,WA,98121,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616552,-122.342727
MADISON GARAGE MADISON GARAGE2,1229 Madison St,Seattle,WA,98104,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.610087,-122.322114
Expo Apartments,118 Republican St,Seattle,WA,98109,J1772,0,1,0,24 hours daily; apartment residents only,E,206-751-1356,Non-Networked,47.6232795,-122.354922
Bedrooms & More,300 NE 45th St,Seattle,WA,98105,J1772,0,1,0,"10am-7pm M-F, 9am-6pm Sat, 10am-6pm Sun; customer use only",E,206-633-4505,Non-Networked,47.66159,-122.324877
SAFECO PLAZA SAFECO PLAZA #1,1001 4th Ave Safeco Plaza,Seattle,WA,98154,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606106,-122.333782
DUAL EV SOUTH 1,2616 NE 46th St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.661471,-122.299298
KING COUNTY DES KSC STATION #5,253-295 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.599,-122.330804
400 DEXTER AVE 400 DEXTER 1,400 Dexter Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.622264,-122.342164
DUAL EV SOUTH 2,2623 NE University Village St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.661361,-122.298284
First Hill Medical Building,515 Minor Ave,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-998-2546,Blink Network,47.60636,-122.321639
520 Pike Tower,520 Pike St.,Seattle,WA,98101,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.611102,-122.334893
Lake Union Building,1700 Westlake Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-998-2546,Blink Network,47.633992,-122.339684
Seattle-Tacoma International Airport - Terminal Direct Parking,17801 Pacific Hwy S,Seattle,WA,98188,J1772,0,28,0,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,E,206-787-5308,Non-Networked,47.443363,-122.296428
CITY LIGHT N BEACON HILL 1,2535 16th Avenue South,Seattle,WA,98144,CHADEMO;J1772COMBO,0,0,1,24 hours daily,E,888-758-4389,ChargePoint Network,47.579789,-122.3122
1101 WESTLAKE WESTLAKE 2,1101 Westlake Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.6289,-122.341536
DC CORRIDOR SEATTLE MINI,11536 Lake City Way NE,Seattle,WA,98125,CHADEMO;J1772COMBO,0,0,1,24 hours daily,E,888-758-4389,ChargePoint Network,47.713224,-122.298415
EVROADWAY WA-PACSCI-L2-1,200 Denny Wy,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.61906,-122.35235
BMGF P1 STATION 2,500 5th Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.623424,-122.345872
Bedrooms & More,324 NE 45th St,Seattle,WA,98105,J1772,0,1,0,"10am-7pm M-F, 9am-6pm Sat, 10am-6pm Sun; for customer use only",E,206-633-4505,Non-Networked,47.661582,-122.32426
Thompson Seattle - Tesla Destination,100 Stewart St,Seattle,WA,98101,J1772;TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.610335,-122.341261
Hotel 1000 - Tesla Destination,1000 1st Ave,Seattle,WA,98104,J1772;TESLA,0,3,0,,E,877-798-3752,Tesla Destination,47.604904,-122.336189
Motif Seattle - Tesla Destination,1415 5th Ave,Seattle,WA,98101,J1772;TESLA,0,4,0,,E,877-798-3752,Tesla Destination,47.610166,-122.335179
Hotel Theodore - Tesla Destination,1531 7th Ave,Seattle,WA,98101,TESLA,0,3,0,,E,877-798-3752,Tesla Destination,47.612347,-122.334168
Cedarbrook Lodge - Tesla Destination,18525 36th Ave S,Seattle,WA,98188,J1772;TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.437313,-122.287623
Seattle Marriott Waterfront - Tesla Destination,2100 Alaskan Way,Seattle,WA,98121,J1772;TESLA,0,3,0,,E,877-798-3752,Tesla Destination,47.610845,-122.347258
Bedrooms & More - Tesla Destination,324 NE 45th St,Seattle,WA,98105,TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.661523,-122.324913
400 Fairview - Tesla Destination,400 Fairview Ave N,Seattle,WA,98109,J1772;TESLA,0,6,0,,E,877-798-3752,Tesla Destination,47.622544,-122.333913
