Station Name,Street Address,City,State,ZIP,Latitude,Longitude,EV Connector Types,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Access Days Time,Status Code,Station Phone,EV Network
Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,47.443377,-122.296229,J1772,,68.0,,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,E,206-787-5388,Non-Networked
Caplan's Rainbow Parking,214 Columbia St,Seattle,WA,98104,47.604115,-122.332907,J1772,,2.0,,Garage business hours; see the valet for access,E,206-682-2991,Non-Networked
City of Seattle - Central Library,1000 4th Ave,Seattle,WA,98104,47.606684,-122.332664,J1772,,3.0,,24 hours daily,E,206-386-4636,Non-Networked
City of Seattle - Seattle Center,516 Harrison St,Seattle,WA,98109,47.622085,-122.347124,J1772,,6.0,,24 hours daily; parking fee,E,206-684-7340,Non-Networked
KING COUNTY DES KSC STATION #1,201 S Jackson St,Seattle,WA,98104,47.598663,-122.331009,J1772,,1.0,,24 hours daily,E,888-758-4389,ChargePoint Network
VIA6 VIA6-SOUTH,2121 6th Ave,Seattle,WA,98121,47.613883,-122.339405,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
800 FIFTH AVE STATION 2,800  5th Ave,Seattle,WA,98104,47.605599,-122.330626,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
UWMC 4245 UWMC 4245 #1,4245 Roosevelt Ave NE,Seattle,WA,98105,47.658961,-122.3185,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,Seattle,WA,98105,47.658409,-122.318392,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
525 NORTHGATE RETAIL #1,525 NE Northgate Way,Seattle,WA,98125,47.707951,-122.321496,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
VM CHARGERS VIRGINIA MASON2,1012 Terry Ave,Seattle,WA,98101,47.609528,-122.326393,J1772,,1.0,,24 hours daily,E,888-758-4389,ChargePoint Network
INSIGNIA 953 EV216,588 Bell St,Seattle,WA,98121,47.616552,-122.342727,J1772,,1.0,,24 hours daily,E,888-758-4389,ChargePoint Network
MADISON GARAGE MADISON GARAGE2,1229 Madison St,Seattle,WA,98104,47.610087,-122.322114,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
Expo Apartments,118 Republican St,Seattle,WA,98109,47.6232795,-122.354922,J1772,,1.0,,24 hours daily; apartment residents only,E,206-751-1356,Non-Networked
Bedrooms & More,300 NE 45th St,Seattle,WA,98105,47.66159,-122.324877,J1772,,1.0,,"10am-7pm M-F, 9am-6pm Sat, 10am-6pm Sun; customer use only",E,206-633-4505,Non-Networked
SAFECO PLAZA SAFECO PLAZA #1,1001 4th Ave Safeco Plaza,Seattle,WA,98154,47.606106,-122.333782,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
DUAL EV SOUTH 1,2616 NE 46th St,Seattle,WA,98105,47.661471,-122.299298,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
KING COUNTY DES KSC STATION #5,253-295 S Jackson St,Seattle,WA,98104,47.599,-122.330804,J1772,,1.0,,24 hours daily,E,888-758-4389,ChargePoint Network
400 DEXTER AVE 400 DEXTER 1,400 Dexter Ave N,Seattle,WA,98109,47.622264,-122.342164,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
DUAL EV SOUTH 2,2623 NE University Village St,Seattle,WA,98105,47.661361,-122.298284,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
First Hill Medical Building,515 Minor Ave,Seattle,WA,98104,47.60636,-122.321639,J1772,,1.0,,24 hours daily,E,888-998-2546,Blink Network
520 Pike Tower,520 Pike St.,Seattle,WA,98101,47.611102,-122.334893,J1772,,4.0,,24 hours daily,E,888-998-2546,Blink Network
Lake Union Building,1700 Westlake Ave N,Seattle,WA,98109,47.633992,-122.339684,J1772,,2.0,,24 hours daily,E,888-998-2546,Blink Network
Seattle-Tacoma International Airport - Terminal Direct Parking,17801 Pacific Hwy S,Seattle,WA,98188,47.443363,-122.296428,J1772,,28.0,,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,E,206-787-5308,Non-Networked
CITY LIGHT N BEACON HILL 1,2535 16th Avenue South,Seattle,WA,98144,47.579789,-122.3122,CHADEMO J1772COMBO,,,1.0,24 hours daily,E,888-758-4389,ChargePoint Network
1101 WESTLAKE WESTLAKE 2,1101 Westlake Ave N,Seattle,WA,98109,47.6289,-122.341536,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
DC CORRIDOR SEATTLE MINI,11536 Lake City Way NE,Seattle,WA,98125,47.713224,-122.298415,CHADEMO J1772COMBO,,,1.0,24 hours daily,E,888-758-4389,ChargePoint Network
EVROADWAY WA-PACSCI-L2-1,200 Denny Wy,Seattle,WA,98109,47.61906,-122.35235,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
BMGF P1 STATION 2,500 5th Ave N,Seattle,WA,98109,47.623424,-122.345872,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
Bedrooms & More,324 NE 45th St,Seattle,WA,98105,47.661582,-122.32426,J1772,,1.0,,"10am-7pm M-F, 9am-6pm Sat, 10am-6pm Sun; for customer use only",E,206-633-4505,Non-Networked
Thompson Seattle - Tesla Destination,100 Stewart St,Seattle,WA,98101,47.610335,-122.341261,J1772 TESLA,,2.0,,,E,877-798-3752,Tesla Destination
Hotel 1000 - Tesla Destination,1000 1st Ave,Seattle,WA,98104,47.604904,-122.336189,J1772 TESLA,,3.0,,,E,877-798-3752,Tesla Destination
Motif Seattle - Tesla Destination,1415 5th Ave,Seattle,WA,98101,47.610166,-122.335179,J1772 TESLA,,4.0,,,E,877-798-3752,Tesla Destination
Hotel Theodore - Tesla Destination,1531 7th Ave,Seattle,WA,98101,47.612347,-122.334168,TESLA,,3.0,,,E,877-798-3752,Tesla Destination
Cedarbrook Lodge - Tesla Destination,18525 36th Ave S,Seattle,WA,98188,47.437313,-122.287623,J1772 TESLA,,2.0,,,E,877-798-3752,Tesla Destination
Seattle Marriott Waterfront - Tesla Destination,2100 Alaskan Way,Seattle,WA,98121,47.610845,-122.347258,J1772 TESLA,,3.0,,,E,877-798-3752,Tesla Destination
Bedrooms & More - Tesla Destination,324 NE 45th St,Seattle,WA,98105,47.661523,-122.324913,TESLA,,2.0,,,E,877-798-3752,Tesla Destination
400 Fairview - Tesla Destination,400 Fairview Ave N,Seattle,WA,98109,47.622544,-122.333913,J1772 TESLA,,6.0,,,E,877-798-3752,Tesla Destination
Fairmont Olympic Hotel - Seattle - Tesla Destination,411 University St,Seattle,WA,98101,47.608197,-122.334028,J1772 TESLA,,7.0,,,E,877-798-3752,Tesla Destination
Residence Inn by Marriott Seattle University Distric - Tesla Destination,4501 12th Ave NE,Seattle,WA,98105,47.661869,-122.315415,TESLA,,2.0,,,E,877-798-3752,Tesla Destination
Hampton Inn and Suites Seattle-Downtown - Tesla Destination,500 5th Ave N,Seattle,WA,98109,47.625675,-122.346886,TESLA,,2.0,,,E,877-798-3752,Tesla Destination
Four Points by Sheraton Downtown Seattle Center - Tesla Destination,601 Roy St,Seattle,WA,98109,47.625378,-122.344596,TESLA,,2.0,,,E,877-798-3752,Tesla Destination
Hotel Max - Tesla Destination,620 Stewart St,Seattle,WA,98101,47.614141,-122.336357,TESLA,,1.0,,,E,877-798-3752,Tesla Destination
Shafer Baillie Mansion Bed & Breakfast - Tesla Destination,907 14th Ave E,Seattle,WA,98112,47.627047,-122.314961,TESLA,,1.0,,,E,877-798-3752,Tesla Destination
Four Seasons Hotel Seattle - Tesla Destination,99 Union St,Seattle,WA,98101,47.607651,-122.339418,TESLA,,2.0,,,E,877-798-3752,Tesla Destination
ALLEN INSTITUTE SOUTH,615 Westlake Ave N,Seattle,WA,98109,47.625077,-122.339032,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
T-MOBILE PARK GRIFFEY,1518 1st Ave S,Seattle,WA,98134,47.589593,-122.332945,J1772,,1.0,,24 hours daily,E,888-758-4389,ChargePoint Network
Washington Athletic Club Garage - Tesla Destination,1325 6th Ave,Seattle,WA,98101,47.609629,-122.333133,J1772 TESLA,,5.0,,,E,877-798-3752,Tesla Destination
188 BLAINE ATRIUM4,1818 Fairview Ave East,Seattle,WA,98102,47.635213,-122.325845,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
188 BLAINE ATRIUM3,1823 Eastlake Ave E,Seattle,WA,98102,47.635119,-122.325866,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
VIDA APARTMENTS VIDA 1,1205 NE 66th ST,Seattle,WA,98115,47.678055,-122.314119,J1772,,2.0,,24 hours daily,E,888-758-4389,ChargePoint Network
Broadway Market,401 Broadway E,Seattle,WA,98102,47.622517,-122.321407,J1772,,2.0,,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,E,855-900-7584,SHELL_RECHARGE
Safeway 7300 Roosevelt Way Ne,7300 Roosevelt Way Ne,Seattle,WA,98115,47.682581,-122.317165,J1772,,2.0,,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,E,855-900-7584,SHELL_RECHARGE
